TICKET:: C8hVh7cx3y | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 276][ft: SMIL] [curTime: 1180.27][curIndex: 0 of 2][Buffer: 40.589 of 20][isBuffering: false][BW: 1112.23][Avg BW: 999.39][Peak BW: 1578.37 : Estimated RAW Max Bytes Per Second: 459245.1612903226] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 240 > 24 | DATE:: 2011-12-07 20:50:27.764006 | PORT:: 17094
TICKET:: bfuyWAXs45 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 70][ft: SMIL] [curTime: 1169.83][curIndex: 0 of 2][Buffer: 52.988 of 20][isBuffering: false][BW: 1311.22][Avg BW: 1065.61][Peak BW: 1587.28 : Estimated RAW Max Bytes Per Second: 470128.85154061625] Log Status Timer | DATE:: 2011-12-07 20:50:28.401234 | PORT:: 17094
TICKET:: bfuyWAXs45 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 71][ft: SMIL] [curTime: 1169.83][curIndex: 0 of 2][Buffer: 52.988 of 20][isBuffering: false][BW: 1311.22][Avg BW: 1065.61][Peak BW: 1587.28 : Estimated RAW Max Bytes Per Second: 470128.85154061625] Displaying message - Your BW is Low: 1065.61 | DATE:: 2011-12-07 20:50:28.402672 | PORT:: 17094
TICKET:: bfuyWAXs45 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 71][ft: SMIL] [curTime: 1169.83][curIndex: 0 of 2][Buffer: 52.988 of 20][isBuffering: false][BW: 1103.65][Avg BW: 1062.75][Peak BW: 1587.28 : Estimated RAW Max Bytes Per Second: 1070204.5454545454] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 272 > 24 | DATE:: 2011-12-07 20:50:28.403361 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 1.083 of 20][isBuffering: true][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [videoView][DEBUG]FROM TRAIT BUFFERING CHANGE isBuffering : true time 20 | DATE:: 2011-12-07 20:50:28.413534 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 1.083 of 20][isBuffering: false][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Seek.Notify | DATE:: 2011-12-07 20:50:28.414703 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 1.083 of 20][isBuffering: false][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Seek.Notify | DATE:: 2011-12-07 20:50:28.415379 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 1.083 of 20][isBuffering: false][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Seek.Notify | DATE:: 2011-12-07 20:50:28.416022 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 1.083 of 20][isBuffering: false][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Start | DATE:: 2011-12-07 20:50:28.416663 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5584][ft: SMIL] [curTime: 1222.41][curIndex: 0 of 2][Buffer: 39 of 20][isBuffering: false][BW: 1353.43][Avg BW: 714.59][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 436370.27707808564] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:50:28.426357 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 1.083 of 20][isBuffering: false][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Start | DATE:: 2011-12-07 20:50:28.445784 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 1.083 of 20][isBuffering: false][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Start | DATE:: 2011-12-07 20:50:28.470558 | PORT:: 17094
TICKET:: 9RuVhpfayq | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 281][ft: SMIL] [curTime: 1180.38][curIndex: 0 of 2][Buffer: 156.356 of 20][isBuffering: false][BW: 1309.16][Avg BW: 891.89][Peak BW: 1523.12 : Estimated RAW Max Bytes Per Second: 481003.24675324676] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 415 > 24 | DATE:: 2011-12-07 20:50:28.478334 | PORT:: 17094
TICKET:: 9RuVhpfayq | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 281][ft: SMIL] [curTime: 1180.38][curIndex: 0 of 2][Buffer: 156.356 of 20][isBuffering: false][BW: 1309.16][Avg BW: 891.89][Peak BW: 1523.12 : Estimated RAW Max Bytes Per Second: 481003.24675324676] Displaying message - Your BW is Low: 891.89 | DATE:: 2011-12-07 20:50:28.479286 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1136][ft: SMIL] [curTime: 1206.58][curIndex: 0 of 2][Buffer: 27.375 of 20][isBuffering: false][BW: 1166.72][Avg BW: 1002.49][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 267 > 24 | DATE:: 2011-12-07 20:50:28.501183 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1136][ft: SMIL] [curTime: 1206.58][curIndex: 0 of 2][Buffer: 27.375 of 20][isBuffering: false][BW: 1166.72][Avg BW: 996.94][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] [videoView][DEBUG]Detected FPS <1 FPS zero count 0 currentFPS: 0.81 | DATE:: 2011-12-07 20:50:28.510474 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1135][ft: SMIL] [curTime: 1206.58][curIndex: 0 of 2][Buffer: 27.375 of 20][isBuffering: false][BW: 1166.72][Avg BW: 996.94][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] Log Status Timer | DATE:: 2011-12-07 20:50:28.517196 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1136][ft: SMIL] [curTime: 1206.58][curIndex: 0 of 2][Buffer: 27.375 of 20][isBuffering: false][BW: 1166.72][Avg BW: 996.94][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] Displaying message - Your BW is Low: 996.94 | DATE:: 2011-12-07 20:50:28.517845 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 8][ft: SMIL] [curTime: 1158.00][curIndex: 0 of 2][Buffer: 1.094 of 20][isBuffering: true][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [videoView][DEBUG]Change in STATE:playing  MP canPlay true canSeek true seekInto point 1158 | DATE:: 2011-12-07 20:50:28.593211 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 8][ft: SMIL] [curTime: 1158.00][curIndex: 0 of 2][Buffer: 1.094 of 20][isBuffering: true][BW: 139.06][Avg BW: 69.53][Peak BW: 139.06 : Estimated RAW Max Bytes Per Second: 504937.98449612403] [videoView][DEBUG]onSeekingChange: seekingChange seek Event to 1158 | DATE:: 2011-12-07 20:50:28.593906 | PORT:: 17094
TICKET:: T6mwrDzfid | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 755][ft: SMIL] [curTime: 1202.71][curIndex: 0 of 2][Buffer: 25.214 of 20][isBuffering: false][BW: 643.78][Avg BW: 982.94][Peak BW: 2945.75 : Estimated RAW Max Bytes Per Second: 417986.5951742627] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 289 > 24 | DATE:: 2011-12-07 20:50:28.607543 | PORT:: 17094
TICKET:: T6mwrDzfid | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 755][ft: SMIL] [curTime: 1202.71][curIndex: 0 of 2][Buffer: 25.214 of 20][isBuffering: false][BW: 643.78][Avg BW: 999.58][Peak BW: 2945.75 : Estimated RAW Max Bytes Per Second: 417986.5951742627] Displaying message - Your BW is Low: 999.58 | DATE:: 2011-12-07 20:50:28.627717 | PORT:: 17094
TICKET:: odWjseNuW5 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 247][ft: SMIL] [curTime: 1162.00][curIndex: 0 of 2][Buffer: 36.166 of 20][isBuffering: false][BW: 1355.82][Avg BW: 1062.71][Peak BW: 1688.08 : Estimated RAW Max Bytes Per Second: 434890.4761904762] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 303 > 24 | DATE:: 2011-12-07 20:50:28.645989 | PORT:: 17094
TICKET:: odWjseNuW5 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 247][ft: SMIL] [curTime: 1162.00][curIndex: 0 of 2][Buffer: 36.166 of 20][isBuffering: false][BW: 1355.82][Avg BW: 1022.95][Peak BW: 1688.08 : Estimated RAW Max Bytes Per Second: 434890.4761904762] Displaying message - Your BW is Low: 1022.95 | DATE:: 2011-12-07 20:50:28.646739 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1137][ft: SMIL] [curTime: 1207.32][curIndex: 0 of 2][Buffer: 27.125 of 20][isBuffering: false][BW: 1166.72][Avg BW: 1002.49][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] [videoView][DEBUG]Detected FPS <1 FPS zero count 1 currentFPS: 0.85 | DATE:: 2011-12-07 20:50:28.735781 | PORT:: 17094
TICKET:: C8hVh7cx3y | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 281][ft: SMIL] [curTime: 1181.01][curIndex: 0 of 2][Buffer: 45.928 of 20][isBuffering: false][BW: 996.95][Avg BW: 979.29][Peak BW: 1578.37 : Estimated RAW Max Bytes Per Second: 483367.42424242425] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 270 > 24 | DATE:: 2011-12-07 20:50:28.773359 | PORT:: 17094
TICKET:: JNQAzcgrZY | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 258][ft: SMIL] [curTime: 1178.38][curIndex: 0 of 2][Buffer: 22.583 of 20][isBuffering: false][BW: 212.97][Avg BW: 657.95][Peak BW: 1431.95 : Estimated RAW Max Bytes Per Second: 419350] Displaying message - Your BW is Low: 657.95 | DATE:: 2011-12-07 20:50:28.833862 | PORT:: 17094
TICKET:: JNQAzcgrZY | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 258][ft: SMIL] [curTime: 1178.38][curIndex: 0 of 2][Buffer: 22.583 of 20][isBuffering: false][BW: 212.97][Avg BW: 641.60][Peak BW: 1431.95 : Estimated RAW Max Bytes Per Second: 419350] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 82 > 24 | DATE:: 2011-12-07 20:50:28.836341 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1138][ft: SMIL] [curTime: 1207.51][curIndex: 0 of 2][Buffer: 26.917 of 20][isBuffering: false][BW: 1166.72][Avg BW: 1002.49][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] [videoView][DEBUG]Detected FPS <1 FPS zero count 2 currentFPS: 0.79 | DATE:: 2011-12-07 20:50:28.929160 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5587][ft: SMIL] [curTime: 1222.97][curIndex: 0 of 2][Buffer: 41.375 of 20][isBuffering: false][BW: 1070.22][Avg BW: 731.79][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 407702.38095238095] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:50:28.976193 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1138][ft: SMIL] [curTime: 1207.55][curIndex: 0 of 2][Buffer: 26.833 of 20][isBuffering: false][BW: 1166.72][Avg BW: 1008.04][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 270 > 24 | DATE:: 2011-12-07 20:50:29.048241 | PORT:: 17094
TICKET:: kv2id9ojZp | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 845][ft: SMIL] [curTime: 1204.00][curIndex: 0 of 2][Buffer: 367.043 of 20][isBuffering: false][BW: 1094.96][Avg BW: 785.04][Peak BW: 3434.90 : Estimated RAW Max Bytes Per Second: 585564.8535564854] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 161 > 24 | DATE:: 2011-12-07 20:50:29.074071 | PORT:: 17094
TICKET:: kv2id9ojZp | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 845][ft: SMIL] [curTime: 1204.00][curIndex: 0 of 2][Buffer: 367.043 of 20][isBuffering: false][BW: 1094.96][Avg BW: 767.23][Peak BW: 3434.90 : Estimated RAW Max Bytes Per Second: 492253.9682539682] [videoView][DEBUG]Detected FPS <1 FPS zero count 7 currentFPS: 0.77 | DATE:: 2011-12-07 20:50:29.075194 | PORT:: 17094
TICKET:: kv2id9ojZp | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 845][ft: SMIL] [curTime: 1204.00][curIndex: 0 of 2][Buffer: 367.043 of 20][isBuffering: false][BW: 1094.96][Avg BW: 767.23][Peak BW: 3434.90 : Estimated RAW Max Bytes Per Second: 492253.9682539682] Displaying message - Your BW is Low: 767.23 | DATE:: 2011-12-07 20:50:29.075840 | PORT:: 17094
TICKET:: odWjseNuW5 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 249][ft: SMIL] [curTime: 1162.99][curIndex: 0 of 2][Buffer: 35.625 of 20][isBuffering: false][BW: 1355.82][Avg BW: 1102.47][Peak BW: 1688.08 : Estimated RAW Max Bytes Per Second: 434890.4761904762] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 305 > 24 | DATE:: 2011-12-07 20:50:29.104922 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1139][ft: SMIL] [curTime: 1207.65][curIndex: 0 of 2][Buffer: 26.708 of 20][isBuffering: false][BW: 1166.72][Avg BW: 1008.04][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] [videoView][DEBUG]Detected FPS <1 FPS zero count 3 currentFPS: 0.79 | DATE:: 2011-12-07 20:50:29.134821 | PORT:: 17094
TICKET:: T6mwrDzfid | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 757][ft: SMIL] [curTime: 1203.72][curIndex: 0 of 2][Buffer: 24.672 of 20][isBuffering: false][BW: 643.78][Avg BW: 955.58][Peak BW: 2945.75 : Estimated RAW Max Bytes Per Second: 417986.5951742627] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 259 > 24 | DATE:: 2011-12-07 20:50:29.149794 | PORT:: 17094
TICKET:: DsJBUBGFom | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5145][ft: SMIL] [curTime: 1225.04][curIndex: 0 of 2][Buffer: 23.986 of 20][isBuffering: false][BW: 3248.64][Avg BW: 650.19][Peak BW: 4692.51 : Estimated RAW Max Bytes Per Second: 423149.7064579256] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 20:50:29.182063 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 11][ft: SMIL] [curTime: 1158.04][curIndex: 0 of 2][Buffer: 5.018 of 20][isBuffering: true][BW: 1066.64][Avg BW: 401.90][Peak BW: 1066.64 : Estimated RAW Max Bytes Per Second: 443279.2207792208] detected low buffer - displaying message - buffer: 5 | DATE:: 2011-12-07 20:50:29.205789 | PORT:: 17094
TICKET:: DsJBUBGFom | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5145][ft: SMIL] [curTime: 1225.04][curIndex: 0 of 2][Buffer: 23.986 of 20][isBuffering: false][BW: 3248.64][Avg BW: 650.19][Peak BW: 4692.51 : Estimated RAW Max Bytes Per Second: 423149.7064579256] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 20:50:29.220156 | PORT:: 17094
TICKET:: DsJBUBGFom | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5145][ft: SMIL] [curTime: 1225.04][curIndex: 0 of 2][Buffer: 23.986 of 20][isBuffering: false][BW: 3248.64][Avg BW: 650.19][Peak BW: 4692.51 : Estimated RAW Max Bytes Per Second: 423149.7064579256] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 20:50:29.226256 | PORT:: 17094
TICKET:: DsJBUBGFom | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5146][ft: SMIL] [curTime: 1225.17][curIndex: 0 of 2][Buffer: 24.102 of 20][isBuffering: false][BW: 3040.64][Avg BW: 729.70][Peak BW: 4692.51 : Estimated RAW Max Bytes Per Second: 428636.563876652] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 1 at 1500 kbps | DATE:: 2011-12-07 20:50:29.261986 | PORT:: 17094
TICKET:: DsJBUBGFom | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5146][ft: SMIL] [curTime: 1225.17][curIndex: 0 of 2][Buffer: 24.102 of 20][isBuffering: false][BW: 3040.64][Avg BW: 729.70][Peak BW: 4692.51 : Estimated RAW Max Bytes Per Second: 428636.563876652] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 1 at 1500 kbps | DATE:: 2011-12-07 20:50:29.300523 | PORT:: 17094
TICKET:: G9cZr3Kg2Q | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1140][ft: SMIL] [curTime: 1207.88][curIndex: 0 of 2][Buffer: 26.5 of 20][isBuffering: false][BW: 1166.72][Avg BW: 1008.04][Peak BW: 4222.17 : Estimated RAW Max Bytes Per Second: 406341.0404624278] [videoView][DEBUG]Detected FPS <1 FPS zero count 4 currentFPS: 0.81 | DATE:: 2011-12-07 20:50:29.355859 | PORT:: 17094
